paid_status,status,Age,gender,education,married_status,city,province,agerange,salary,civil,appcount,phonegrade,simstrength
Paid,0,31,Male,Graduate,Married,Kalyan,MAHARASHTRA,25-35,4,667,2,3,1
Paid,0,26,Male,Post Graduate,Unmarried,Idappadi,TAMIL NADU,25-35,3,679,8,2,3
Paid,0,36,Male,Graduate,Married,Mumbai,MAHARASHTRA,>35,4,686,6,4,3
Paid,0,26,Male,Post Graduate,Unmarried,Bangalore North,KARNATAKA,25-35,4,650,3,5,2
Paid,0,33,Male,Self Employed,Unmarried,Coimbatore,Tamil Nadu,25-35,5,723,7,5,2
Paid,0,25,Male,Graduate,Unmarried,Pune City,MAHARASHTRA,25-35,4,746,7,3,2
Pending Payment,1,29,Male,Post Graduate,Unmarried,Krishna,ANDHRA PRADESH,25-35,5,551,3,5,4
Paid,0,27,Male,10th-12th,Married,Ambattur,TAMIL NADU,25-35,4,622,1,3,3
Paid,0,26,Male,Post Graduate,Unmarried,Dammapeta,TELANGANA,25-35,5,743,6,2,3
Paid,0,29,Male,Post Graduate,Married,Vriudhunagar,TAMIL NADU,25-35,5,791,3,5,1
Paid,0,22,Male,Post Graduate,Unmarried,Huzur,MADHYA PRADESH,<25,4,598,7,4,1
Paid,0,25,Male,Post Graduate,Married,Miraj,MAHARASHTRA,25-35,4,627,2,5,1
Pending Payment,1,30,Male,Graduate,Married,Ambattur,TAMIL NADU,25-35,4,590,1,2,5
Paid,0,27,Male,Post Graduate,Unmarried,NA,TAMIL NADU,25-35,4,657,5,4,2
Paid,0,26,Male,Post Graduate,Unmarried,Modinagar,UTTAR PRADESH,25-35,4,704,6,4,2
Paid,0,39,Male,10th-12th,Married,Malad East,MAHARASHTRA,>35,4,747,4,4,3
Pending Payment,1,36,Male,Graduate,Married,Nabarangpur,ODISHA,>35,4,500,2,5,4
Paid,0,31,Male,10th-12th,Married,tirupur,TAMIL NADU,25-35,4,664,7,5,1
Pending Payment,1,27,Male,Graduate,Unmarried,Loni,UTTAR PRADESH,25-35,4,644,4,1,4
Pending Payment,1,28,Male,Post Graduate,Unmarried,Gummidipundi,TAMIL NADU,25-35,4,510,8,2,4
Paid,0,31,Male,Post Graduate,Married,Sriperumbudur,TAMIL NADU,25-35,5,771,1,2,2
Paid,0,24,Male,Post Graduate,Unmarried,Vijayawada (Urban),ANDHRA PRADESH,<25,4,555,7,5,3
Pending Payment,1,23,Male,Self Employed,Unmarried,Pilibhit,UTTAR PRADESH,<25,4,526,3,2,3
Paid,0,31,Male,Self Employed,Married,Tambaram,TAMIL NADU,25-35,4,572,7,4,2
Paid,0,26,Male,Graduate,Unmarried,Desh Bandhu Nagar,WEST BENGAL,25-35,4,635,3,2,2
Paid,0,30,Male,Graduate,Married,Chinthakommadinne,ANDHRA PRADESH,25-35,4,558,1,4,1
Pending Payment,1,22,Male,Self Employed,Unmarried,Pali,RAJASTHAN,<25,4,526,4,3,5
Pending Payment,1,24,Male,Post Graduate,Unmarried,Tondiarpet Fort St George,TAMIL NADU,<25,4,518,6,2,5
Pending Payment,1,34,Male,Post Graduate,Married,Gangapur,MAHARASHTRA,25-35,4,575,4,4,4
Paid,0,27,Female,Post Graduate,Unmarried,Mumbai,MAHARASHTRA,25-35,5,740,7,4,3
Paid,0,34,Female,Graduate,Married,Goregaon West,MAHARASHTRA,25-35,4,620,4,3,3
Paid,0,35,Male,Post Graduate,Married,Bangalore South,KARNATAKA,25-35,4,602,3,1,2
Paid,0,37,Male,Post Graduate,Unmarried,Tambaram,TAMIL NADU,>35,6,554,5,3,2
Paid,0,31,Male,Self Employed,Married,Vijayawada,Andhra Pradesh,25-35,6,666,4,3,3
Paid,0,36,Male,Post Graduate,Married,Bhubaneswar,ODISHA,>35,4,710,4,2,1
Paid,0,26,Male,Self Employed,Unmarried,Piduguralla,ANDHRA PRADESH,25-35,4,717,5,2,1
Paid,0,31,Male,Post Graduate,Unmarried,Khairatabad,TELANGANA,25-35,5,754,3,5,1
Paid,0,29,Male,Post Graduate,Unmarried,Gudiyatham,TAMIL NADU,25-35,4,692,7,1,3
Paid,0,24,Male,Post Graduate,Unmarried,Daskroi,GUJARAT,<25,3,551,7,4,1
Paid,0,24,Female,Self Employed,Unmarried,Bangalore North,KARNATAKA,<25,4,582,5,5,1
Paid,0,29,Male,Post Graduate,Unmarried,Visakhapatnam (Rural),ANDHRA PRADESH,25-35,5,795,7,1,2
Paid,0,29,Male,Graduate,Married,Goregaon West,MAHARASHTRA,25-35,4,711,7,1,3
Paid,0,34,Male,Post Graduate,Unmarried,Hyderabad,Telangana,25-35,6,745,5,1,3
Pending Payment,1,24,Male,Post Graduate,Unmarried,Bangalore North,KARNATAKA,<25,4,642,4,2,4
Paid,0,32,Male,Self Employed,Married,Kurnool,ANDHRA PRADESH,25-35,4,558,3,5,3
Paid,0,29,Male,Post Graduate,Unmarried,Tirupati (Urban),ANDHRA PRADESH,25-35,4,583,3,5,1
Paid,0,30,Male,Graduate,Unmarried,Mumbai,MAHARASHTRA,25-35,5,639,3,3,2
Paid,0,38,Male,Post Graduate,Married,Aurangabad,MAHARASHTRA,>35,5,720,5,4,1
Pending Payment,1,28,Male,Self Employed,Unmarried,Namakkal,TAMIL NADU,25-35,4,520,2,4,3
Paid,0,38,Male,Graduate,Married,Surat City,GUJARAT,>35,3,646,3,5,2
Paid,0,36,Male,Graduate,Married,Nadiad,GUJARAT,>35,4,658,4,5,2
Paid,0,31,Male,Graduate,Married,Nashik,MAHARASHTRA,25-35,4,729,8,5,3
Paid,0,32,Male,Post Graduate,Married,Pedagantyada,ANDHRA PRADESH,25-35,4,666,3,5,2
Paid,0,26,Female,10th-12th,Married,Aurangabad,MAHARASHTRA,25-35,5,629,6,2,1
Pending Payment,1,27,Female,Post Graduate,Unmarried,Changanassery,KERALA,25-35,4,523,3,4,3
Paid,0,27,Male,Graduate,Married,Mumbai,MAHARASHTRA,25-35,6,621,2,1,1
Paid,0,26,Male,Post Graduate,Married,Pune City,MAHARASHTRA,25-35,4,758,3,4,1
Paid,0,33,Male,Post Graduate,Married,Huzur,MADHYA PRADESH,25-35,5,580,5,3,2
Paid,0,40,Female,Post Graduate,Married,Bangalore North,KARNATAKA,>35,4,694,6,3,2
Paid,0,29,Male,Self Employed,Unmarried,NA,MAHARASHTRA,25-35,6,644,1,3,1
Paid,0,31,Male,Post Graduate,Unmarried,Aurangabad,MAHARASHTRA,25-35,4,614,4,1,1
Paid,0,22,Male,Post Graduate,Unmarried,Narasaraopet,ANDHRA PRADESH,<25,4,666,4,5,3
Paid,0,34,Female,Post Graduate,Married,Madurai North,TAMIL NADU,25-35,5,689,4,2,2
Paid,0,25,Male,Graduate,Married,Surat,GUJARAT,25-35,5,567,8,3,2
Paid,0,35,Male,Post Graduate,Married,Vijayawada (Urban),ANDHRA PRADESH,25-35,4,616,5,4,1
Paid,0,29,Male,Post Graduate,Unmarried,Sitai,WEST BENGAL,25-35,4,679,1,2,2
Paid,0,24,Male,Post Graduate,Unmarried,Bangalore South,KARNATAKA,<25,4,749,5,2,3
Paid,0,39,Male,Post Graduate,Married,Vijayawada (Urban),ANDHRA PRADESH,>35,4,652,5,3,1
Paid,0,30,Male,Post Graduate,Married,Bangalore North,KARNATAKA,25-35,4,570,8,5,2
Paid,0,27,Male,Self Employed,Unmarried,Kalyan,MAHARASHTRA,25-35,5,577,3,1,1
Paid,0,36,Male,Post Graduate,Married,Egmore Nungambakkam,TAMIL NADU,>35,6,768,6,3,1
Paid,0,29,Male,Post Graduate,Unmarried,Guntur,ANDHRA PRADESH,25-35,4,718,4,2,3
Paid,0,22,Male,Post Graduate,Married,Bangalore North,KARNATAKA,<25,4,575,4,3,3
Pending Payment,1,26,Male,Post Graduate,Unmarried,Ghaziabad,UTTAR PRADESH,25-35,4,540,3,4,5
Paid,0,33,Male,Post Graduate,Married,Warangal,TELANGANA,25-35,4,622,4,5,2
Paid,0,24,Male,Post Graduate,Unmarried,Balanagar,TELANGANA,<25,4,558,1,2,1
Pending Payment,1,30,Male,Graduate,Married,Aurangabad,MAHARASHTRA,25-35,5,583,7,3,5
Paid,0,28,Male,Graduate,Unmarried,Indore,MADHYA PRADESH,25-35,5,761,6,4,3
Pending Payment,1,26,Male,Graduate,Unmarried,Kalyan,MAHARASHTRA,25-35,4,623,6,1,3
Paid,0,26,Male,Post Graduate,Unmarried,Ponnuru,ANDHRA PRADESH,25-35,4,756,7,4,3
Paid,0,26,Male,Post Graduate,Unmarried,Bangalore North,KARNATAKA,25-35,6,704,2,4,1
Paid,0,38,Male,Self Employed,Unmarried,Chennai City Corporation,TAMIL NADU,>35,6,709,8,1,1
Paid,0,31,Male,Post Graduate,Unmarried,Pollachi,TAMIL NADU,25-35,4,608,1,5,2
Pending Payment,1,24,Male,10th-12th,Married,Aurangabad,MAHARASHTRA,<25,4,592,1,5,4
Paid,0,29,Male,Self Employed,Unmarried,Tambaram,TAMIL NADU,25-35,5,695,4,2,3
Paid,0,26,Male,Self Employed,Unmarried,Vijayawada,Andhra Pradesh,25-35,3,689,4,4,1
Paid,0,40,Male,Self Employed,Unmarried,Hyderabad,Telangana,>35,5,743,1,3,1
Paid,0,36,Male,Graduate,Married,Akola,MAHARASHTRA,>35,4,749,8,1,3
Paid,0,22,Male,Post Graduate,Unmarried,Hyderabad,Telangana,<25,4,584,8,3,1
Paid,0,34,Male,Graduate,Married,Vijayawada (Urban),ANDHRA PRADESH,25-35,4,560,1,2,3
Paid,0,25,Male,Post Graduate,Married,Udamalpet,TAMIL NADU,25-35,4,742,7,2,1
Paid,0,33,Male,Graduate,Unmarried,Pune City,MAHARASHTRA,25-35,5,582,7,4,1
Paid,0,36,Female,Post Graduate,Married,Mysore,KARNATAKA,>35,4,669,1,1,1
Paid,0,29,Male,Post Graduate,Married,Surat City,GUJARAT,25-35,4,736,7,1,2
Paid,0,32,Female,Self Employed,Unmarried,Bengaluru,Karnataka,25-35,5,793,6,2,1
Paid,0,40,Male,Graduate,Married,Kamptee,MAHARASHTRA,>35,4,566,3,4,2
Paid,0,36,Male,Post Graduate,Unmarried,Poonamallee,TAMIL NADU,>35,5,758,5,3,1
Pending Payment,1,31,Male,Post Graduate,Unmarried,Kalyan,MAHARASHTRA,25-35,4,545,1,4,4
Paid,0,38,Male,Graduate,Married,Chennai,TAMIL NADU,>35,4,626,5,1,3
Pending Payment,1,23,Male,Graduate,Unmarried,Bangalore North,KARNATAKA,<25,4,500,8,1,4
Paid,0,24,Male,Post Graduate,Unmarried,Haveli,MAHARASHTRA,<25,4,654,1,4,2
Pending Payment,1,29,Male,Graduate,Married,Bangalore North,KARNATAKA,25-35,4,588,3,1,4
Paid,0,31,Male,Post Graduate,Unmarried,Nagpur,MAHARASHTRA,25-35,5,621,6,1,3
Paid,0,27,Male,Graduate,Unmarried,NA,MADHYA PRADESH,25-35,4,595,2,3,1
Paid,0,35,Male,Graduate,Unmarried,Chennai,TAMIL NADU,25-35,4,772,4,4,3
Paid,0,37,Male,Graduate,Married,Bhiwandi,MAHARASHTRA,>35,4,759,1,3,3
Paid,0,34,Male,10th-12th,Married,Thane,MAHARASHTRA,25-35,4,576,1,1,2
Paid,0,28,Male,Self Employed,Unmarried,Chennai City Corporation,TAMIL NADU,25-35,4,558,7,4,1
Paid,0,36,Male,Post Graduate,Unmarried,Bangalore North,KARNATAKA,>35,4,586,4,1,1
Paid,0,34,Male,Post Graduate,Unmarried,Tambaram,TAMIL NADU,25-35,4,629,6,1,2
Paid,0,25,Male,Post Graduate,Unmarried,Pune City,MAHARASHTRA,25-35,4,594,4,2,1
Paid,0,29,Male,Post Graduate,Unmarried,Bangalore South,KARNATAKA,25-35,4,743,6,1,2
Paid,0,29,Male,Post Graduate,Unmarried,Vijayawada (Urban),ANDHRA PRADESH,25-35,4,566,2,1,3
Paid,0,31,Male,Self Employed,Unmarried,Huzur,MADHYA PRADESH,25-35,6,768,4,4,1
Paid,0,29,Male,Graduate,Unmarried,Chennai,TAMIL NADU,25-35,5,747,7,2,2
Pending Payment,1,30,Male,Graduate,Unmarried,Mumbai,MAHARASHTRA,25-35,5,579,8,5,4
Paid,0,30,Male,10th-12th,Unmarried,Bangalore North,KARNATAKA,25-35,4,607,3,2,3
Paid,0,32,Male,Post Graduate,Unmarried,Hyderabad,Telangana,25-35,4,607,5,1,1
Pending Payment,1,24,Male,Graduate,Unmarried,Poonamallee,TAMIL NADU,<25,4,520,6,3,3
Paid,0,22,Male,Graduate,Married,Mumbai,MAHARASHTRA,<25,3,721,8,1,2
Paid,0,30,Male,Self Employed,Married,Hayathnagar,TELANGANA,25-35,3,588,8,1,3
Paid,0,31,Male,Post Graduate,Married,Guntur,ANDHRA PRADESH,25-35,5,624,2,2,2
Paid,0,25,Male,Post Graduate,Unmarried,Musheerabad,TELANGANA,25-35,4,672,7,2,2
Paid,0,38,Male,Graduate,Unmarried,Madurai,Tamil Nadu,>35,5,652,4,5,1
Paid,0,25,Male,Graduate,Unmarried,Vasai,MAHARASHTRA,25-35,3,652,6,2,2
Paid,0,30,Male,Post Graduate,Unmarried,Kanayannur,KERALA,25-35,3,780,4,2,2
Paid,0,29,Male,Graduate,Unmarried,Rajahmundry (Urban),ANDHRA PRADESH,25-35,4,787,2,2,3
Paid,0,27,Male,Post Graduate,Married,Indore,MADHYA PRADESH,25-35,4,698,3,1,2
Pending Payment,1,31,Male,Post Graduate,Unmarried,Chennai City Corporation,TAMIL NADU,25-35,4,637,3,5,3
Pending Payment,1,24,Male,Post Graduate,Unmarried,Bangalore South,KARNATAKA,<25,4,521,2,1,3
Paid,0,27,Male,Post Graduate,Unmarried,Nashik,MAHARASHTRA,25-35,4,725,4,1,3
Paid,0,24,Male,Post Graduate,Unmarried,Jaipur,RAJASTHAN,<25,4,607,7,3,3
Paid,0,22,Male,Post Graduate,Married,Tiruchirappalli,TAMIL NADU,<25,4,571,3,1,1
Paid,0,28,Male,Post Graduate,Unmarried,Bharuch,GUJARAT,25-35,4,596,7,1,3
Pending Payment,1,27,Male,Graduate,Unmarried,Kolluru,ANDHRA PRADESH,25-35,4,636,1,2,3
Paid,0,33,Male,Post Graduate,Married,Bangalore North,KARNATAKA,25-35,4,569,2,1,3
Paid,0,37,Male,Graduate,Married,Bangalore South,KARNATAKA,>35,5,567,4,2,1
Paid,0,27,Male,Post Graduate,Unmarried,Aurangabad,MAHARASHTRA,25-35,4,768,3,4,3
Paid,0,32,Male,Post Graduate,Married,Guntur,Andhra Pradesh,25-35,4,587,2,4,3
Paid,0,25,Male,Graduate,Unmarried,Charminar,TELANGANA,25-35,5,563,8,5,2
Paid,0,41,Male,Self Employed,Unmarried,Huzur,MADHYA PRADESH,>35,4,795,5,1,3
Pending Payment,1,36,Male,Graduate,Married,NA,MAHARASHTRA,>35,4,641,5,3,4
Paid,0,36,Male,Post Graduate,Married,Ahmadabad City,GUJARAT,>35,4,629,5,3,2
Paid,0,30,Male,Graduate,Unmarried,Vasai,MAHARASHTRA,25-35,4,644,3,2,3
Paid,0,37,Male,Self Employed,Married,Warangal,Telangana,>35,5,719,6,2,3
Pending Payment,1,30,Male,Post Graduate,Married,Chennai,Tamil Nadu,25-35,4,536,7,5,3
Paid,0,33,Male,Self Employed,Unmarried,Hyderabad,Telangana,25-35,6,703,4,2,3
Paid,0,28,Male,Graduate,Unmarried,Bhupalapalli,TELANGANA,25-35,4,744,2,2,1
Paid,0,36,Male,Post Graduate,Married,Jaipur,Rajasthan,>35,6,720,3,2,1
Pending Payment,1,34,Male,Graduate,Married,Belgaum,KARNATAKA,25-35,4,589,4,1,3
Pending Payment,1,27,Male,Post Graduate,Unmarried,Haveli,MAHARASHTRA,25-35,4,599,1,3,3
Paid,0,28,Male,Self Employed,Unmarried,Nashik,Maharashtra,25-35,4,689,6,1,3
Paid,0,29,Male,Graduate,Unmarried,Huzur,MADHYA PRADESH,25-35,4,570,6,5,1
Paid,0,23,Male,Post Graduate,Unmarried,Coimbatore South,TAMIL NADU,<25,3,563,2,2,3
Paid,0,28,Male,Post Graduate,Unmarried,Tumkur,KARNATAKA,25-35,4,562,6,2,2
Pending Payment,1,38,Male,Post Graduate,Married,Belgaum,KARNATAKA,>35,4,546,1,4,5
Pending Payment,1,29,Male,Graduate,Unmarried,Jogeshwari West,MAHARASHTRA,25-35,4,561,5,3,4
Paid,0,30,Female,Self Employed,Unmarried,Kalyan,MAHARASHTRA,25-35,6,632,3,1,3
Paid,0,26,Male,Post Graduate,Married,Neem-Ka-Thana,RAJASTHAN,25-35,3,585,7,4,3
Pending Payment,1,27,Male,Graduate,Unmarried,Aurangabad,MAHARASHTRA,25-35,4,621,2,3,5
Pending Payment,1,32,Male,Graduate,Unmarried,Chennai,TAMIL NADU,25-35,5,642,7,5,4
Paid,0,33,Male,Post Graduate,Married,Nagpur,MAHARASHTRA,25-35,4,741,3,3,1
Paid,0,34,Female,Graduate,Married,Bangalore South,KARNATAKA,25-35,5,716,4,5,3
Paid,0,28,Male,Post Graduate,Unmarried,Bangalore South,KARNATAKA,25-35,4,615,6,1,1
Paid,0,37,Male,Self Employed,Unmarried,Coimbatore South,TAMIL NADU,>35,4,798,7,3,2
Pending Payment,1,26,Male,Graduate,Married,Surat City,GUJARAT,25-35,4,517,6,4,5
Paid,0,32,Male,Post Graduate,Married,Vadodara,GUJARAT,25-35,4,714,6,1,1
Paid,0,30,Male,Post Graduate,Unmarried,Pune City,MAHARASHTRA,25-35,5,605,1,2,3
Paid,0,37,Male,Post Graduate,Married,Huzur,MADHYA PRADESH,>35,5,589,6,3,2
Pending Payment,1,34,Male,Self Employed,Married,Mysore,KARNATAKA,25-35,4,609,1,3,5
Paid,0,27,Male,Post Graduate,Unmarried,Nellore,ANDHRA PRADESH,25-35,4,693,2,2,1
Paid,0,25,Male,Post Graduate,Unmarried,Bangalore North,KARNATAKA,25-35,4,552,7,2,3
Paid,0,30,Male,Graduate,Married,Thane,MAHARASHTRA,25-35,5,790,7,1,3
Paid,0,31,Male,10th-12th,Married,Palghar,MAHARASHTRA,25-35,4,647,1,5,1
Paid,0,35,Male,Post Graduate,Unmarried,Ernakulam,KERALA,25-35,4,764,6,3,1
Paid,0,27,Female,Post Graduate,Unmarried,Bangalore North,KARNATAKA,25-35,4,701,1,4,1
Paid,0,25,Male,Post Graduate,Unmarried,Nandgaon,MAHARASHTRA,25-35,4,611,3,2,3
Pending Payment,1,24,Male,Post Graduate,Unmarried,Maval,MAHARASHTRA,<25,4,646,6,3,5
Paid,0,32,Male,Post Graduate,Married,Jaipur,RAJASTHAN,25-35,5,666,5,3,1
Paid,0,25,Male,Post Graduate,Unmarried,Nashik,MAHARASHTRA,25-35,4,559,7,1,2
Pending Payment,1,32,Male,Post Graduate,Married,Nashik,MAHARASHTRA,25-35,4,528,2,5,4
Paid,0,29,Male,Post Graduate,Unmarried,Huzur,MADHYA PRADESH,25-35,5,652,2,3,3
Paid,0,27,Male,Graduate,Unmarried,Cittorgarh,RAJASTHAN,25-35,4,761,5,5,3
Paid,0,36,Male,Post Graduate,Married,Jaipur,RAJASTHAN,>35,4,589,3,3,2
Paid,0,31,Male,Graduate,Unmarried,Panvel,MAHARASHTRA,25-35,4,580,3,5,1
Paid,0,26,Male,Graduate,Unmarried,Bangalore South,KARNATAKA,25-35,4,672,4,5,3
Paid,0,28,Male,Self Employed,Unmarried,Trichy,TAMIL NADU,25-35,4,749,6,5,1
Paid,0,22,Male,Post Graduate,Unmarried,Bangalore North,KARNATAKA,<25,4,720,7,5,1
Paid,0,26,Male,Post Graduate,Unmarried,Aurangabad,MAHARASHTRA,25-35,4,710,7,4,2
Paid,0,24,Male,Post Graduate,Married,City Ahmedabad,GUJARAT,<25,5,553,2,2,3
Paid,0,27,Male,Self Employed,Unmarried,Mambalam,TAMIL NADU,25-35,5,655,4,3,3
Paid,0,25,Male,Graduate,Unmarried,Vijayawada (Urban),ANDHRA PRADESH,25-35,4,784,2,2,1
Paid,0,31,Male,Post Graduate,Unmarried,Guntur,ANDHRA PRADESH,25-35,4,552,1,5,2
Paid,0,32,Female,Post Graduate,Married,Hyderabad,Telangana,25-35,4,614,4,1,2
Paid,0,23,Male,Post Graduate,Unmarried,Aurangabad,MAHARASHTRA,<25,4,713,8,1,2
Pending Payment,1,26,Male,Post Graduate,Unmarried,Madurai North,TAMIL NADU,25-35,4,611,7,1,4
Paid,0,26,Male,Post Graduate,Unmarried,Bangalore North,KARNATAKA,25-35,4,767,6,4,2
Paid,0,32,Male,Graduate,Unmarried,Ahmadabad City,GUJARAT,25-35,5,601,5,5,2
Pending Payment,1,22,Male,Post Graduate,Unmarried,Pune City,MAHARASHTRA,<25,3,533,6,2,5
Pending Payment,1,29,Male,Post Graduate,Unmarried,Mangalore,KARNATAKA,25-35,5,507,4,2,3
Paid,0,22,Male,Post Graduate,Unmarried,Vasai,MAHARASHTRA,<25,4,784,6,3,1
Paid,0,29,Male,Self Employed,Married,Ahmadabad City,GUJARAT,25-35,4,755,2,5,3
Paid,0,23,Male,Post Graduate,Unmarried,Hyderabad,Telangana,<25,4,627,3,2,2
Paid,0,32,Female,Post Graduate,Married,Ambattur,TAMIL NADU,25-35,5,661,3,2,2
Paid,0,30,Male,10th-12th,Unmarried,NA,TAMIL NADU,25-35,4,704,7,3,2
Paid,0,27,Male,Post Graduate,Unmarried,Uran,MAHARASHTRA,25-35,5,603,6,2,3
Pending Payment,1,30,Male,Self Employed,Unmarried,Sagar,MADHYA PRADESH,25-35,4,527,1,1,3
Paid,0,35,Male,Graduate,Married,Gandhi Nagar,GUJARAT,25-35,4,757,1,1,1
Paid,0,26,Male,Post Graduate,Unmarried,Coimbatore South,TAMIL NADU,25-35,4,682,1,4,1
Pending Payment,1,29,Male,Post Graduate,Unmarried,Mysore,KARNATAKA,25-35,4,531,2,2,3
Paid,0,28,Male,Graduate,Unmarried,Mumbai,MAHARASHTRA,25-35,4,786,4,5,1
Pending Payment,1,38,Male,Graduate,Married,Vadodara,GUJARAT,>35,4,595,6,2,5
Pending Payment,1,39,Male,10th-12th,Married,Bangalore South,KARNATAKA,>35,4,558,4,4,3
Paid,0,26,Female,Post Graduate,Married,Mumbai,MAHARASHTRA,25-35,4,763,3,1,1
Paid,0,31,Female,Post Graduate,Unmarried,Bengaluru,Karnataka,25-35,4,645,7,4,1
Paid,0,28,Male,Post Graduate,Unmarried,Bangalore North,KARNATAKA,25-35,4,608,2,5,3
Paid,0,27,Male,Post Graduate,Unmarried,Bangalore North,KARNATAKA,25-35,3,585,5,3,2
Paid,0,30,Male,Self Employed,Married,Bangalore South,KARNATAKA,25-35,4,708,7,2,2
Paid,0,32,Male,Post Graduate,Unmarried,Mysore,KARNATAKA,25-35,4,689,3,2,3
Paid,0,32,Male,Post Graduate,Married,Amravati,MAHARASHTRA,25-35,4,733,3,3,1
Paid,0,27,Male,Post Graduate,Unmarried,Mysore,KARNATAKA,25-35,4,762,4,1,1
Pending Payment,1,28,Male,Graduate,Married,Ahmadabad City,GUJARAT,25-35,4,536,3,5,5
Paid,0,24,Female,Post Graduate,Unmarried,Hyderabad,Telangana,<25,4,640,7,3,1
Paid,0,33,Male,Post Graduate,Married,Bangalore South,KARNATAKA,25-35,4,562,7,1,1
Paid,0,27,Male,Graduate,Unmarried,Karur,TAMIL NADU,25-35,4,736,5,2,1
Paid,0,28,Female,Post Graduate,Unmarried,Alwar,RAJASTHAN,25-35,5,634,7,1,3
Paid,0,34,Male,Graduate,Married,Hyderabad,Telangana,25-35,4,676,3,5,2
Pending Payment,1,27,Male,Post Graduate,Unmarried,Bangalore North,KARNATAKA,25-35,4,640,8,4,4
Paid,0,32,Male,Post Graduate,Married,Bangalore North,KARNATAKA,25-35,4,641,8,4,2
Pending Payment,1,29,Male,Graduate,Married,Pollachi,TAMIL NADU,25-35,4,561,7,2,5
Pending Payment,1,25,Male,Graduate,Unmarried,Ahmedabad,Gujarat,25-35,4,613,4,2,5
Paid,0,23,Male,Self Employed,Unmarried,Ahmadabad City,GUJARAT,<25,4,760,1,4,3
Pending Payment,1,29,Male,Post Graduate,Unmarried,Bengaluru,Karnataka,25-35,4,504,6,1,4
Paid,0,32,Male,Post Graduate,Married,Chennai City Corporation,TAMIL NADU,25-35,5,592,7,2,2
Paid,0,27,Male,Self Employed,Unmarried,Bhimavaram,ANDHRA PRADESH,25-35,4,745,5,4,1
Paid,0,29,Male,Post Graduate,Married,Rampur,ASSAM,25-35,4,567,5,4,1
Pending Payment,1,35,Male,Self Employed,Unmarried,Jaipur,RAJASTHAN,25-35,4,543,3,2,4
Paid,0,28,Male,Graduate,Married,Hyderabad,Telangana,25-35,4,677,2,3,1
Paid,0,36,Male,Self Employed,Unmarried,Ambattur,TAMIL NADU,>35,4,712,5,2,3
Paid,0,30,Male,10th-12th,Unmarried,Coimbatore South,TAMIL NADU,25-35,4,790,2,4,1
Pending Payment,1,31,Male,Graduate,Unmarried,Bangalore South,KARNATAKA,25-35,4,624,6,1,3
Paid,0,31,Male,Graduate,Married,Dahisar West,MAHARASHTRA,25-35,5,675,5,1,3
Paid,0,25,Male,Post Graduate,Unmarried,Vijayawada (Urban),ANDHRA PRADESH,25-35,4,795,3,5,2
Paid,0,25,Male,Graduate,Unmarried,Nagpur,MAHARASHTRA,25-35,4,769,8,5,1
Paid,0,27,Male,Post Graduate,Unmarried,Vellore,TAMIL NADU,25-35,5,742,5,1,1
Paid,0,29,Male,Graduate,Unmarried,Chennai City Corporation,TAMIL NADU,25-35,4,600,7,5,2
Pending Payment,1,30,Male,Graduate,Unmarried,Bangalore North,KARNATAKA,25-35,4,639,8,3,3
Paid,0,24,Male,Graduate,Unmarried,Bengaluru,Karnataka,<25,4,767,4,3,2
Paid,0,29,Male,Self Employed,Unmarried,Bhubaneswar,ODISHA,25-35,4,795,5,5,2
Paid,0,29,Male,10th-12th,Married,Rajkot,GUJARAT,25-35,4,721,1,1,3
Pending Payment,1,31,Male,Self Employed,Unmarried,Belgaum,KARNATAKA,25-35,4,596,6,4,3
Paid,0,30,Male,10th-12th,Married,Erode,TAMIL NADU,25-35,5,628,2,1,3
Paid,0,24,Male,10th-12th,Unmarried,Malad East,MAHARASHTRA,<25,4,569,3,2,3
Paid,0,25,Male,Graduate,Unmarried,Daskroi,GUJARAT,25-35,4,578,4,3,2
Pending Payment,1,32,Male,Post Graduate,Unmarried,Vasai,MAHARASHTRA,25-35,4,517,2,3,3
Paid,0,24,Male,Post Graduate,Unmarried,Bangalore South,KARNATAKA,<25,4,623,2,5,3
Paid,0,30,Female,Self Employed,Married,Bangalore South,KARNATAKA,25-35,4,659,7,5,1
Paid,0,32,Male,Self Employed,Married,Bangalore North,KARNATAKA,25-35,4,780,6,4,2
Paid,0,26,Female,Self Employed,Unmarried,Thanjavur,TAMIL NADU,25-35,4,674,2,1,1
Paid,0,35,Male,Post Graduate,Married,Gandhi Nagar,GUJARAT,25-35,4,708,7,4,1
Paid,0,34,Female,Self Employed,Unmarried,Hyderabad,Telangana,25-35,4,628,4,2,3
Paid,0,31,Male,Post Graduate,Unmarried,Jaipur,RAJASTHAN,25-35,4,558,5,5,1
Paid,0,28,Male,Post Graduate,Unmarried,Vijayawada,Andhra Pradesh,25-35,4,602,6,5,2
Paid,0,28,Male,Graduate,Unmarried,Huzur,MADHYA PRADESH,25-35,4,678,5,1,1
Pending Payment,1,30,Male,Graduate,Unmarried,Bangalore South,KARNATAKA,25-35,4,584,7,2,4
Paid,0,31,Male,Post Graduate,Married,Haveli,MAHARASHTRA,25-35,4,559,6,4,1
Paid,0,29,Male,Graduate,Married,Ahmadabad City,GUJARAT,25-35,4,747,2,2,1
Paid,0,23,Male,Post Graduate,Unmarried,Hyderabad,Telangana,<25,4,625,5,3,3
